,movie,rating
0,The Shawshank Redemption,<strong>9.3</strong>
1,The Godfather,<strong>9.2</strong>
2,The Dark Knight,<strong>9.0</strong>
3,The Lord of the Rings: The Return of the King,<strong>9.0</strong>
4,Schindler's List,<strong>9.0</strong>
5,The Godfather Part II,<strong>9.0</strong>
6,12 Angry Men,<strong>9.0</strong>
7,Jai Bhim,<strong>8.9</strong>
8,Pulp Fiction,<strong>8.9</strong>
9,Inception,<strong>8.8</strong>
10,The Lord of the Rings: The Two Towers,<strong>8.8</strong>
11,Fight Club,<strong>8.8</strong>
12,The Lord of the Rings: The Fellowship of the Ring,<strong>8.8</strong>
13,Forrest Gump,<strong>8.8</strong>
14,"Il buono, il brutto, il cattivo",<strong>8.8</strong>
15,The Matrix,<strong>8.7</strong>
16,Goodfellas,<strong>8.7</strong>
17,The Empire Strikes Back,<strong>8.7</strong>
18,One Flew Over the Cuckoo's Nest,<strong>8.7</strong>
19,Interstellar,<strong>8.6</strong>
20,Cidade de Deus,<strong>8.6</strong>
21,Sen to Chihiro no kamikakushi,<strong>8.6</strong>
22,Saving Private Ryan,<strong>8.6</strong>
23,The Green Mile,<strong>8.6</strong>
24,La vita è bella,<strong>8.6</strong>
25,Se7en,<strong>8.6</strong>
26,Terminator 2: Judgment Day,<strong>8.6</strong>
27,The Silence of the Lambs,<strong>8.6</strong>
28,Star Wars,<strong>8.6</strong>
29,Seppuku,<strong>8.6</strong>
30,Shichinin no samurai,<strong>8.6</strong>
31,It's a Wonderful Life,<strong>8.6</strong>
32,Gisaengchung,<strong>8.5</strong>
33,Whiplash,<strong>8.5</strong>
34,The Intouchables,<strong>8.5</strong>
35,The Prestige,<strong>8.5</strong>
36,The Departed,<strong>8.5</strong>
37,The Pianist,<strong>8.5</strong>
38,Gladiator,<strong>8.5</strong>
39,American History X,<strong>8.5</strong>
40,The Usual Suspects,<strong>8.5</strong>
41,Léon,<strong>8.5</strong>
42,The Lion King,<strong>8.5</strong>
43,Nuovo Cinema Paradiso,<strong>8.5</strong>
44,Hotaru no haka,<strong>8.5</strong>
45,Back to the Future,<strong>8.5</strong>
46,Apocalypse Now,<strong>8.5</strong>
47,Alien,<strong>8.5</strong>
48,Once Upon a Time in the West,<strong>8.5</strong>
49,Psycho,<strong>8.5</strong>
